Age,MSY_Z,MSYlow_Z
0,0.2400,0.2400
1,0.2400,0.2400
2,0.2416,0.2413
3,0.2562,0.2535
4,0.2890,0.2807
5,0.3465,0.3284
6,0.3990,0.3721
7,0.4302,0.3979
8,0.4383,0.4047
9,0.4382,0.4046
10,0.4382,0.4046
11,0.4365,0.4032
12,0.4332,0.4004
13,0.4299,0.3977
14,0.4282,0.3963
15,0.4249,0.3935
16,0.4232,0.3922
