Age,MSY,MSYlow
0,0,0.0
1,0,0.0
2,8,7.0
3,40,33.1
4,153,127.8
5,102,85.2
6,513,431.3
7,119,100.0
8,458,386.1
9,188,158.9
10,35,29.7
11,51,43.0
12,7,6.3
13,23,19.7
14,16,13.8
15,19,16.1
16,30,25.3
