Basis             ,Total catch (2022) ,Commercial landings (2022) ,Commercial discards (2022) ,Recreational removals (2022) ,Total F (2022) ,F Commercial landings (2022) ,F Commercial_discards_(2022) ,F_Recreational_removals ,SSB_(2023) ,%_SSB_change ,%_Advice_change
FMSY       ,2216               ,1469                       ,164                        ,583                          ,0.143          ,0.099                        ,0.0057                       ,0.038                   ,11827      ,-1.87         ,10.8
FMSY lower ,1859               ,1233                       ,137                        ,489                          ,0.119          ,0.082                        ,0.0047                       ,0.032                   ,12121      ,0.57          ,-7.1
