OpenSeason,BL1Fish,BL2Fish,BL3Fish,BL4Fish,BL5+Fish
0,0.099,0.099,0.099,0.099,0.099
3,0.191,0.221,0.235,0.239,0.24
6,0.282,0.343,0.371,0.379,0.381
7,0.312,0.383,0.416,0.426,0.428
9,0.373,0.464,0.506,0.519,0.522
10,0.404,0.505,0.552,0.566,0.569
12,0.465,0.586,0.642,0.659,0.663
